step,value,metric,run_id,algorithm,observation_mode,reward_mode
26772,0.46000000834465027,training_reward,dqn_compact_coverage,dqn,compact,coverage
26923,0.6427000164985657,training_reward,dqn_compact_coverage,dqn,compact,coverage
26966,0.7305999994277954,training_reward,dqn_compact_coverage,dqn,compact,coverage
27476,0.32519999146461487,training_reward,dqn_compact_coverage,dqn,compact,coverage
27695,0.539900004863739,training_reward,dqn_compact_coverage,dqn,compact,coverage
27859,0.5238000154495239,training_reward,dqn_compact_coverage,dqn,compact,coverage
28077,0.29840001463890076,training_reward,dqn_compact_coverage,dqn,compact,coverage
28131,0.2655999958515167,training_reward,dqn_compact_coverage,dqn,compact,coverage
28204,0.3815000057220459,training_reward,dqn_compact_coverage,dqn,compact,coverage
28421,0.1264999955892563,training_reward,dqn_compact_coverage,dqn,compact,coverage
28524,0.0340999998152256,training_reward,dqn_compact_coverage,dqn,compact,coverage
28634,-0.051100000739097595,training_reward,dqn_compact_coverage,dqn,compact,coverage
28940,0.07159999758005142,training_reward,dqn_compact_coverage,dqn,compact,coverage
28983,0.15860000252723694,training_reward,dqn_compact_coverage,dqn,compact,coverage
29120,0.21860000491142273,training_reward,dqn_compact_coverage,dqn,compact,coverage
29264,0.18889999389648438,training_reward,dqn_compact_coverage,dqn,compact,coverage
29469,0.2395000010728836,training_reward,dqn_compact_coverage,dqn,compact,coverage
29491,0.1559000015258789,training_reward,dqn_compact_coverage,dqn,compact,coverage
29662,0.12280000001192093,training_reward,dqn_compact_coverage,dqn,compact,coverage
29768,0.14579999446868896,training_reward,dqn_compact_coverage,dqn,compact,coverage
29806,0.3540000021457672,training_reward,dqn_compact_coverage,dqn,compact,coverage
29890,0.31940001249313354,training_reward,dqn_compact_coverage,dqn,compact,coverage
29908,0.5999000072479248,training_reward,dqn_compact_coverage,dqn,compact,coverage
30033,0.7961000204086304,training_reward,dqn_compact_coverage,dqn,compact,coverage
30185,0.7968000173568726,training_reward,dqn_compact_coverage,dqn,compact,coverage
30748,0.5374000072479248,training_reward,dqn_compact_coverage,dqn,compact,coverage
31022,0.7141000032424927,training_reward,dqn_compact_coverage,dqn,compact,coverage
31090,0.6640999913215637,training_reward,dqn_compact_coverage,dqn,compact,coverage
31112,1.1359000205993652,training_reward,dqn_compact_coverage,dqn,compact,coverage
31361,1.0063999891281128,training_reward,dqn_compact_coverage,dqn,compact,coverage
31731,0.9962999820709229,training_reward,dqn_compact_coverage,dqn,compact,coverage
31815,1.2122000455856323,training_reward,dqn_compact_coverage,dqn,compact,coverage
